,CD_MUN,latitude,longitude,municipio
0,4200051,-27.583824901720693,-51.0562628309725,Abdon Batista
1,4200101,-26.562426855567093,-52.25571912306015,Abelardo Luz
2,4200200,-27.45511639364327,-49.82477985824378,Agrolândia
3,4200309,-27.327559429716437,-49.72074685728468,Agronômica
4,4200408,-26.76446918157033,-51.61240583867837,Água Doce
5,4200507,-27.054386024452793,-52.95673527930452,Águas de Chapecó
6,4200556,-26.851638850973643,-52.85231124188476,Águas Frias
7,4200606,-27.733480951801113,-48.936026935725984,Águas Mornas
8,4200705,-27.70594673424535,-49.3307510700746,Alfredo Wagner
9,4200754,-27.421535077481998,-51.92594839668161,Alto Bela Vista
10,4200804,-26.532948184400585,-53.33310864178267,Anchieta
11,4200903,-27.543005676188848,-49.06722368187546,Angelina
12,4201000,-27.730321792809924,-51.07955798426662,Anita Garibaldi
13,4201109,-27.879775975302707,-49.13875010333535,Anitápolis
14,4201208,-27.497474227181968,-48.83098179624291,Antônio Carlos
15,4201257,-27.124502359730975,-49.364244600271256,Apiúna
16,4201273,-27.140868080616993,-52.18154485906579,Arabutã
17,4201307,-26.461708089601323,-48.75777734611065,Araquari
18,4201406,-28.9422934098757,-49.47117420910179,Araranguá
19,4201505,-28.237880638136094,-49.014677665017096,Armazém
20,4201604,-26.92149911289856,-51.33667814298063,Arroio Trinta
21,4201653,-27.07085356427636,-52.44198670964182,Arvoredo
22,4201703,-26.97363368202941,-49.39596551693794,Ascurra
23,4201802,-27.437303896595758,-49.74255039033168,Atalanta
24,4201901,-27.32963166107603,-49.59034698790699,Aurora
25,4201950,-29.019465075162362,-49.475056726291164,Balneário Arroio do Silva
26,4202008,-27.004736811989282,-48.62174059290786,Balneário Camboriú
27,4202057,-26.446419426504228,-48.6525686779991,Balneário Barra do Sul
28,4202073,-29.153516044807805,-49.61536798375303,Balneário Gaivota
29,4202081,-26.768595796097028,-53.64816794738197,Bandeirante
30,4202099,-26.66835784442113,-53.425055355047476,Barra Bonita
31,4202107,-26.662440609824166,-48.72738559449102,Barra Velha
32,4202131,-26.41807905207535,-50.486844299810116,Bela Vista do Toldo
33,4202156,-26.857082065884523,-53.61806004596434,Belmonte
34,4202206,-26.80094023363729,-49.43539636534986,Benedito Novo
35,4202305,-27.433529852830816,-48.69394689806006,Biguaçu
36,4202404,-26.885766673711007,-49.09730924738388,Blumenau
37,4202438,-27.763117533335603,-49.909163039792034,Bocaina do Sul
38,4202453,-27.17325633187103,-48.51748707787348,Bombinhas
39,4202503,-28.361004608214945,-49.65245191624736,Bom Jardim da Serra
40,4202537,-26.7390418954996,-52.389991137631434,Bom Jesus
41,4202578,-26.684020817771067,-53.095288071802216,Bom Jesus do Oeste
42,4202602,-27.785359887626676,-49.56300898690758,Bom Retiro
43,4202701,-27.218576097272617,-49.123525799005755,Botuverá
44,4202800,-28.240945450971008,-49.14236463397278,Braço do Norte
45,4202859,-27.368598547286492,-49.90361664577843,Braço do Trombudo
46,4202875,-27.346967886467382,-50.84496052789365,Brunópolis
47,4202909,-27.125000077860673,-48.90974338759385,Brusque
48,4203006,-26.76301573603967,-51.08466522606485,Caçador
49,4203105,-27.025175523184227,-53.26305757870258,Caibi
50,4203154,-26.622155602459433,-51.00686567860755,Calmon
51,4203204,-27.070938703807666,-48.70898929280387,Camboriú
52,4203253,-28.06218197704196,-50.60691206966024,Capão Alto
53,4203303,-26.120556487743215,-49.21753924216807,Campo Alegre
54,4203402,-27.847014437690298,-50.771124333889034,Campo Belo do Sul
55,4203501,-26.450418785075478,-53.13029027791252,Campo Erê
56,4203600,-27.41300179636672,-51.24461188464247,Campos Novos
57,4203709,-27.23460358338924,-48.80230959011115,Canelinha
58,4203808,-26.249950005908698,-50.53337070155689,Canoinhas
59,4203907,-27.411939390248456,-51.63081493151491,Capinzal
60,4203956,-28.455563833138978,-48.94338454298476,Capivari de Baixo
61,4204004,-27.04499810338548,-51.696411039929494,Catanduvas
62,4204103,-27.14671120355529,-52.92021076953631,Caxambu do Sul
63,4204152,-27.651968888665145,-51.30824148335268,Celso Ramos
64,4204178,-27.776354678164044,-50.93193513934535,Cerro Negro
65,4204194,-27.582726613717426,-49.5563835039048,Chapadão do Lageado
66,4204202,-27.125143757264095,-52.6503387011512,Chapecó
67,4204251,-28.59869687778446,-49.3339303801786,Cocal do Sul
68,4204301,-27.23912654780915,-52.00738181173657,Concórdia
69,4204350,-26.975707450831653,-52.64165994492363,Cordilheira Alta
70,4204400,-26.883161405516894,-52.72505203540188,Coronel Freitas
71,4204459,-26.53464591641919,-52.67187452260622,Coronel Martins
72,4204509,-26.439933805537702,-49.32671147592909,Corupá
73,4204558,-27.59682976815301,-50.378096027660185,Correia Pinto
74,4204608,-28.715695317599724,-49.379715593390806,Criciúma
75,4204707,-26.879227556402125,-53.19066459516312,Cunha Porã
76,4204756,-26.97508678163015,-53.10087034298753,Cunhataí
77,4204806,-27.292933622885478,-50.61754793582909,Curitibanos
78,4204905,-26.858413595000634,-53.479300522303596,Descanso
79,4205001,-26.329842624688034,-53.533104817609406,Dionísio Cerqueira
80,4205100,-26.988700760959578,-49.778082402911785,Dona Emma
81,4205159,-26.705567257195455,-49.55383878447964,Doutor Pedrinho
82,4205175,-26.739709973471363,-52.57836812869868,Entre Rios
83,4205191,-28.990337147169804,-49.65292076186806,Ermo
84,4205209,-27.284350801751902,-51.421889614368894,Erval Velho
85,4205308,-26.846669473721352,-52.24432281425879,Faxinal dos Guedes
86,4205357,-26.76378082164953,-53.33734229657069,Flor do Sertão
87,4205407,-27.577833913876493,-48.50819805014117,Florianópolis
88,4205431,-26.634189292444557,-52.79378914566691,Formosa do Sul
89,4205456,-28.78169340856214,-49.49328332774105,Forquilhinha
90,4205506,-27.037814801374303,-50.87243224056439,Fraiburgo
91,4205555,-27.191741296148173,-50.76564963995387,Frei Rogério
92,4205605,-26.449409440681887,-52.65901067461307,Galvão
93,4205704,-28.046733934256846,-48.65893578099145,Garopaba
94,4205803,-26.05711167861282,-48.86732766109188,Garuva
95,4205902,-26.931342854989225,-48.96603277755912,Gaspar
96,4206009,-27.37661650148034,-48.57722959006138,Governador Celso Ramos
97,4206108,-28.155035480014185,-49.314022146691165,Grão-Pará
98,4206207,-28.354019535964735,-49.019524083675094,Gravatal
99,4206306,-27.103337763844536,-49.02075045567544,Guabiruba
100,4206405,-26.580105565442395,-53.571076311226726,Guaraciaba
101,4206504,-26.47655093499799,-48.94488242157447,Guaramirim
102,4206603,-26.39833636190546,-53.484020658272556,Guarujá do Sul
103,4206652,-27.11647391751629,-52.78338990117775,Guatambú
104,4206702,-27.195375505195166,-51.41066483184581,Herval d'Oeste
105,4206751,-27.208374212872567,-51.21546323270967,Ibiam
106,4206801,-27.09247046688953,-51.37004037385883,Ibicaré
107,4206900,-27.018150479352176,-49.52854434507853,Ibirama
108,4207007,-28.751615358390502,-49.277346428181566,Içara
109,4207106,-26.859040901529745,-48.85735097749987,Ilhota
110,4207205,-28.23147922122709,-48.8344127034363,Imaruí
111,4207304,-28.19427352006288,-48.70266299449253,Imbituba
112,4207403,-27.502912858233568,-49.406525744418744,Imbuia
113,4207502,-26.99497938110411,-49.224177687901346,Indaial
114,4207577,-26.987730004085797,-51.27550679848495,Iomerê
115,4207601,-27.37081858347813,-51.798707740039546,Ipira
116,4207650,-27.000431634442474,-53.489414418215965,Iporã do Oeste
117,4207684,-26.6787391439459,-52.47601370371535,Ipuaçu
118,4207700,-27.04030920397246,-52.15289061018003,Ipumirim
119,4207759,-26.845317195563474,-53.32445648581825,Iraceminha
120,4207809,-27.02523498657863,-51.917948145975714,Irani
121,4207858,-26.627592284222846,-52.89009910522137,Irati
122,4207908,-26.357066305040167,-50.76069119092562,Irineópolis
123,4208005,-27.24401504736772,-52.332158322558705,Itá
124,4208104,-26.472148311227254,-49.891245489879395,Itaiópolis
125,4208203,-26.96901297467498,-48.753417164343155,Itajaí
126,4208302,-27.10858334921313,-48.63442695278928,Itapema
127,4208401,-27.112222405376688,-53.711674144548695,Itapiranga
128,4208450,-26.082477365716418,-48.65235420331072,Itapoá
129,4208500,-27.45344960217853,-49.53886990331492,Ituporanga
130,4208609,-27.141510230826746,-51.772666951728674,Jaborá
131,4208708,-28.99483199811634,-49.848148251438495,Jacinto Machado
132,4208807,-28.657895860293902,-49.04474831889522,Jaguaruna
133,4208906,-26.481907693524388,-49.159974339900636,Jaraguá do Sul
134,4208955,-26.717195189426306,-52.87130602094494,Jardinópolis
135,4209003,-27.151796127157354,-51.59293464174646,Joaçaba
136,4209102,-26.244282225607027,-48.95140521079262,Joinville
137,4209151,-26.85948733686543,-49.646306447162715,José Boiteux
138,4209177,-26.394105628089882,-52.720920059617036,Jupiá
139,4209201,-27.250882306855967,-51.59031113339198,Lacerdópolis
140,4209300,-28.020467334528156,-50.34057306529381,Lages
141,4209409,-28.486420639279142,-48.82593048728185,Laguna
142,4209458,-26.85494130222345,-52.55208511201592,Lajeado Grande
143,4209508,-27.20798229696701,-49.73361403099963,Laurentino
144,4209607,-28.384585380726385,-49.45193164331007,Lauro Müller
145,4209706,-26.85842921486788,-50.702568782604985,Lebon Régis
146,4209805,-27.47214025034485,-49.25722235989941,Leoberto Leal
147,4209854,-27.031507278170547,-52.05246609985818,Lindóia do Sul
148,4209904,-27.18943445931826,-49.5073088131697,Lontras
149,4210001,-26.72735194701673,-48.89108169124951,Luiz Alves
150,4210035,-27.09041292936536,-51.50563310304435,Luzerna
151,4210050,-26.803514154117057,-51.35313152484498,Macieira
152,4210100,-26.20081171740186,-49.88955903735795,Mafra
153,4210209,-27.42792580883704,-49.05263192701135,Major Gercino
154,4210308,-26.481213478137697,-50.361577147797256,Major Vieira
155,4210407,-28.863962997280648,-49.45554724451555,Maracajá
